id,takeout,delivery,outdoor_seating,drive_thru,accesibility,alcohol,dietary_restrictions,catering,counter_service,good_for_kids,wi_fi,credit_card,groups,accept_reservation,rating
0x8890b9241e704667:0x3a1e565c17c00993,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.2
0x8894b5a7a7909725:0xe4687299fd288188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3
0x88e635378f43352f:0xa1b53c63436fa428,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8
0x88d9ba5d65937567:0xbc27649cf513cc89,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3.6
0x88d91d9e5e488c4f:0x6049fa30d0806848,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4.9
0x88db192929431de3:0x95904c639f26a3b4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,4.8
0x88dd734f09df440d:0x868d00fdf7efd200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
0x88d9a733b2f2b019:0x978cadcc23c4ba86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
0x88c317c3eabd5e2b:0x151ee05e62506180,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5
0x88d9b1005bc3752d:0xb173e4bc55c800f1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4.4
0x88d9b6c12dc5bc55:0x8ff2d900fb614b69,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4.2
0x88db1e750e1c1ae1:0x1b8c84478caddbab,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5
0x88d9b7ec39637c5f:0x2605d817e4adc732,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5
0x88d9a94040a578eb:0xd01947f4367fffc0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3
0x88d9b1c015ea1f1b:0x887379498535ceb0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3.8
0x88e77ad07d393c57:0x23ebd5e5f4a03239,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4.5
0x88d907944065b7cb:0xc3c8f9877b52c59e,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6
0x88d9b010f6400001:0x9e1911a7dcca6405,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.8
0x88e77efef5f01409:0x7deb3a556b542eb4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5
0x88e76360bfb684ef:0x4456017926297691,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.6
0x88db158f951195e7:0x8850483d63bde818,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
0x88de0150f06e7bf7:0xc2337846e67d975d,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
0x88e8bb764b40114f:0xaec41d838f6bc69a,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8
0x88d9b3bb8fee377d:0xbacc424121c17c8d,1,1,0,0,1,0,0,0,0,0,0,0,1,1,4.5
0x88d9cb517283f389:0xc3f46b9798034d2b,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4.5
0x88deddc2d1a6d3df:0x3adfef305afd7929,1,1,0,0,1,0,1,0,0,0,1,1,0,1,4.6
0x88d9b97a87225153:0x8dc47691ada1b11e,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4
0x88e781ef85c22097:0x84e2c7be7d650d15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.8
0x88e5b3d14b1e8f69:0x7cc8bdb937eb8bf,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.5
